horizon,policy_a,policy_b,set,n_series,n_origin_records,n_diff_series,mean_series_diff,median_series_diff,series_t,series_p,share_a_worse,sign_p,wilcoxon_p,cr_mean,cr_se,cr_t,boot_lo,boot_hi
3,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,all_origins,4000,144000,3690,-0.00336741116758292,0,-3.94037164375657,8.27444419240047e-05,0.476151761517615,0.00395971549285479,1.91391411999732e-05,-0.00336741116758292,0.00085459227505063,-3.94037164375657,-0.00500706027659778,-0.00167851420437019
3,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,divergent_origins,3686,41726,3686,-0.0128235532325578,-0.000304464844826416,-3.88461511506753,0.00010429175333881,0.476125881714596,0.00394010797279637,5.62631581195959e-05,-0.0116212243741305,0.00294909654938916,-3.94060492069598,-0.0171458732052474,-0.00571668317978123
6,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,all_origins,4000,144000,3693,0.00126128562548691,0,1.08828960882557,0.276532858906821,0.490116436501489,0.236094643566521,0.22499924937702,0.00126128562548691,0.00115896137871612,1.08828960882557,-0.0010327832061726,0.00348288828339199
6,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,divergent_origins,3687,41567,3687,0.0032893401961314,-3.32434705679896e-07,0.75875099230903,0.448050040472796,0.490100352590182,0.235713733199905,0.292982212211621,0.00436945485562838,0.00401466602903046,1.08837318572265,-0.00373992399955614,0.0125612302011045
9,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,all_origins,4000,144000,3717,-0.00103624224835661,0,-0.817417844118221,0.413738378253898,0.478611783696529,0.0095450405236353,0.00759849211771068,-0.00103624224835661,0.00126770201533151,-0.817417844118222,-0.00347657126308409,0.00150384648234023
9,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,divergent_origins,3711,42153,3711,-0.0062359344673682,-0.000212981500873196,-1.26141999407411,0.207236875494321,0.47884667205605,0.0104329245303291,0.00763733962362127,-0.00353993508750122,0.0043319032102601,-0.817177788995121,-0.0125614303487268,0.00473994238447427
12,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,all_origins,4000,144000,3716,-0.00106521293017405,0,-0.797480855558791,0.425219165172435,0.486544671689989,0.104354049282828,0.136235760811962,-0.00106521293017405,0.00133572225934836,-0.79748085555879,-0.00364258851001715,0.00153886903396316
12,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,divergent_origins,3709,42237,3709,-0.00370317343125651,-1.55903135400787e-05,-0.75937087389918,0.447679002779646,0.486654084658938,0.107570069590621,0.153819980528293,-0.00363166564485025,0.00455452002596786,-0.797376150317508,-0.0124025779034712,0.00488112550000754
18,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,all_origins,4000,144000,3737,0.00305447459783938,0,1.53954701100609,0.123749928317923,0.517259834091517,0.036258035109399,0.0636415932168441,0.00305447459783938,0.00198400865709408,1.53954701100609,-0.000964681272239399,0.00676544261281852
18,trigg_cap8_tau0.6,adaptive_cap8_tau0.8,divergent_origins,3730,42434,3730,-0.0040783730913116,9.6458962496519e-05,-0.306711201997222,0.759080327120786,0.517426273458445,0.0346551849381124,0.0973933465574601,0.0103653754566209,0.00672697664341558,1.54086687171222,-0.00259219237928455,0.0240824763620885
